学科,年级,册次,章节,课程名称,钩子确认版,标签确认版,学名确认版,url确认版,压图后封面url二次确认,备注问题,去内容标签新封面url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,100以内的笔算加、减法,笔算加法（进位）,竖式加法指挥棒,【一年级】★【数学启蒙】,笔算加法进位,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_acf56261fc0034e67169105e71701666.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/879afc413b7b4a10a5fcee61bef38401.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,20以内的退位减法,十几减5、4、3、2,拆数的小帮手！,【二年级】★【近期要学】,十几减5432,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_c83842bc895ec39b3467cf38e39b522d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/4ce057cb3a0d4a159b4ced14e0db6729.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,20以内的退位减法,十几减8、7、6,十几减几找口诀！,【二年级】★【近期要学】,十几减876,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_2aa904d543943460cd295a708c6cc55a.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/73065246935c49caa82cd1889c6b6610.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/a58199863a954e2b975c5dce6a2ac787.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,20以内的退位减法,十几减9,十几减9的速算！,【二年级】★【近期要学】,十几减9,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_cf9f8b6cce58bd97a3a65e591f31843d.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/d489612d9a8d42459ace23b8b7c79581.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,20以内的退位减法,解决问题,看图列出小算式,【一年级】★【超好玩】,看图列式,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_2f61cb25687daf47b5c085ec41129cb3.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/dc5a89c9b9304e34a0a8c7e6d731e19f.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/6f5b697ce4404a7592394e560806c70e.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,数量间的加减关系,加减关系-比多比少,比多比少用加减？,【一年级】★【超好玩】,比多比少,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_d61a97af8ccbf6e5e8d6b8ed4b84d0f3.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/32b8c72ed56d4136b9ccf6b7316085d0.jpg,标签字压底图主体,https://cdn-private.sm.cn/souti-imgs-lasting/8768d590db7e4879a93878f6f3c2eafc.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,数量间的加减关系,加减关系（三）-多步,应用题剥洋葱！,【一年级】★【超好玩】,多步加减,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_feb528ef0ecff4171bbd54de86fddbb1.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/11e3093e722a4d288cc8357b40fcc5ac.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,数量间的加减关系,加法模型（加减关系）,加减法变形金刚！,【一年级】★【超好玩】,加法模型,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_ceb4e781326fca505d1c5ff4efca6c82.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/17de2cf2ff2a4de388233959594d86b3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,欢乐购物街,买卖我做主,超市价格小算盘！,【一年级】★【超好玩】,买卖我做主,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_a9b52905068e700c2b2422ccb57932ea.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/61118f516595411b868c83a6229dafb5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
数学,一年级,下册,欢乐购物街,小讲堂,课本外思维游戏,【一年级】★【超好玩】,思维小讲堂,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_80da1df79af2da85f3a56327bcaa10ba.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/25aa04d2d0dc46c6b32f1c21d5667a9a.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
