行号,年级,钩子,原标签,新标签,style,原图url,旧封面url,新封面url
55,二年级,时间去哪了,【二年级】★【认知启蒙】,二年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1e8279b193288df34d9555cd1968f6b1.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/da2cc3dfa03a4bffb24f0040ef822f7e.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/24550fdf111e4dd7ab85efedf649a3c9.jpg
57,二年级,余数比除数小！,【二年级】★【近期要学】,二年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_9215051067ea004b1561b8a9f4060795.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/697b8a1ab62e4c128a9c1486260274dc.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3f2236aeb443461495c6dc3b71e2d1db.jpg
63,三年级,生活里的面积单位,【三年级】★【数学启蒙】,三年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_a6be29b095254adb21efbe0d1070f365.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/3a72ffdce3b3425d8c728d56b707d6d5.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/61bd9d8d16884f82a1321474bf3e424d.jpg
64,三年级,长乘宽就是面积,【三年级】★【数学启蒙】,三年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_5e25f7bf8dcdfe95a12d29fdbdcc668c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/5732297b087143a8994d98327d1c18d6.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/a26e6fcd6d51430182b46a131166e97d.jpg
65,三年级,铺地砖里的算式,【三年级】★【超好玩】,三年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_451855464526b2a47d7185d112314d83.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/7d9458f7e43d4f43bb6efb580bc3ceb1.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/f7f9be784e054dbc8a63b42af52b918d.jpg
74,三年级,韦恩图神助攻！,【三年级】★【数学启蒙】,三年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_1159968c163aecebf571388d87d75839.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/b81c1456fbe34465a486403c1a923be8.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/f57ec57e29e5409aa0220b9b3fe52b45.jpg
76,三年级,杂乱数据变整齐,【三年级】★【数学启蒙】,三年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_b34fb4b64a89ee7a263dae817dcdf8c9.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/c2d1cd55d43b4754bfef94afc8ad27fa.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/c1f47332965842d388d56bdbf01a82b3.jpg
78,三年级,一张纸变出几只蝶？,【三年级】★【超好玩】,三年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_a516704667fd8c7886c579789823d0fd.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/096417ef262345adb86b9e814ed87bc6.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/c67cba38c1134f68b5b222f184015077.jpg
79,三年级,推拉门vs摩天轮,【三年级】★【数学启蒙】,三年级,1,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_5771900d4e60e33ed7178b4b13657a77.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/7b6fe8bde07f456f8e6454e5beea46cb.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/a177f3737c244616942d91cfd30de5d1.jpg
95,四年级,三角形为何最稳？,【四年级】★【概念透视】,四年级,2,https://cdn-private.sm.cn/souti-imgs-lasting/cover_gm_50ea8cac23b2811186277773973c5b2c.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/40bf38394d304885b1d534311cfb00c1.jpg,https://cdn-private.sm.cn/souti-imgs-lasting/e627deac9ccc4d0baa19653d1b98ac69.jpg
